ACLE1;DESAPRES;;;;;;;;CODESSFAMILLE;CODEFAMILLE;CODEVENTILVT;POIDS
820337;A1 Approuvé;27/03/2013 16:08:59;Axe B2 dans B4 Ø200;;;;;;S;602;5;923
810493;A1 Approuvé;27/03/2013 17:47:56;manchon poulie motrice du moteur;;;;;;N;601;4;4160
810494;A1 Approuvé;27/03/2013 17:47:56;clavette de poulie motrice du moteur;;;;;;N;601;4;271
810495;A1 Approuvé;27/03/2013 17:47:57;rondelle de poulie motrice du moteur;;;;;;N;601;4;928
820340;A3 Approuvé;26/08/2014 14:03:09;Axe B2 Ø200 dans S-C ;;;;;;S;602;5;2.2
820333;A3 Approuvé;18/06/2013 12:02:12;Axe galet Ø200 dans B2;;;;;;S;602;5;0.4
810496;A1 Approuvé;27/03/2013 17:47:57;articulation garde corps;;;;;;N;601;4;450
810497;A1 Approuvé;27/03/2013 17:47:58;articualtion banquette;;;;;;N;601;4;450
820427;A1 Approuvé;27/03/2013 16:09:00;Axe B2 Ø330 dans S-C ;;;;;;S;602;5;2831
820445;A1 Approuvé;27/03/2013 16:09:01;Axe principal balancier 4S Ø420;;;;;;S;602;5;35256
820440;A1 Approuvé;27/03/2013 16:09:01;Axe principal balancier 2S Ø420;;;;;;S;602;5;32279
820433;A1 Approuvé;27/03/2013 16:09:01;Axe principal balancier 8C Ø200;;;;;;S;602;5;33160
820436;A1 Approuvé;27/03/2013 16:09:02;Axe B4 dans B8 Ø200;;;;;;S;602;5;1930
820428;A5 Approuvé;23/03/2016 12:26:53;Axe galet Ø330 dans B2;;;;;;S;602;5;311
820441;A3 Approuvé;28/08/2013 14:47:41;Axe galet Ø420 dans B2;;;;;;S;602;5;392
820446;A2 Approuvé;27/03/2013 16:09:03;Axe B2 dans B4 Ø420;;;;;;S;602;5;1186
820439;A1 Approuvé;27/03/2013 16:09:03;Axe monogalet Ø330 de ligne;;;;;;S;602;5;1956
820438;A1 Approuvé;27/03/2013 16:09:04;Axe poulie d'angle Ø1500 carré de 80;;;;;;S;602;5;23042
820426;A2 Approuvé;21/04/2015 12:25:43;Axe monogalet Ø330 de gare;;;;;;S;602;5;5.5
810498;A1 Approuvé;27/03/2013 17:47:58;Tôle d'articulation d'assise siège 3pl 4pl en Ø18;;;;;;N;601;4;163
820447;A1 Approuvé;27/03/2013 16:09:05;Plaque écrou pour axe principal  de balancier;;;;;;S;602;5;1209
880035;A2 Approuvé;27/03/2013 15:31:38;Support de rail pour frotteur;;;;;;N;;;16124
820429;A2 Etude;23/03/2016 12:26:55;Fourreau d'axe de galet Ø330;;;;;;N;602;5;131
820430;A3 Approuvé;23/03/2016 12:26:56;Rondelle épaulé d'axe de galet Ø330;;;;;;N;602;5;92
820338;A2 Approuvé;27/03/2013 16:09:06;Bague Ø50-Ø40-32;;;;;;N;602;5;192
820434;A1 Approuvé;27/03/2013 16:09:06;Rondelle Ø60xØ90x10;;;;;;N;602;5;275
880042;A2 Approuvé;27/03/2013 15:31:38;levier du galet codeur;;;;;;N;;;2903.16
820435;A3 Approuvé;27/03/2013 16:09:06;Bague Ø70-Ø60-32;;;;;;N;602;5;277
820437;A1 Approuvé;27/03/2013 16:09:07;Rondelle Ø40xØ60x10;;;;;;N;602;5;122
880043;A2 Approuvé;27/03/2013 15:31:39;fixation galet codeur;;;;;;N;;;616.80
820442;A1 Approuvé;27/03/2013 16:09:07;Fourreau d'axe de galet Ø420;;;;;;N;602;5;459
820444;A2 Approuvé;27/03/2013 16:09:08;Bague Ø60-Ø50-32;;;;;;N;602;5;235
820328;A2 Approuvé;22/01/2016 11:24:43;Rondelle Ø25xØ32x4;;;;;;N;602;5;10
880044;A2 Approuvé;27/03/2013 15:31:39;rondelle d'arrêt trous fraisés;;;;;;N;;;101.08
880045;A2 Approuvé;27/03/2013 15:31:39;rondelle d'arrêt;;;;;;N;;;104.02
880046;A2 Approuvé;27/03/2013 15:31:40;coupelle support capteur;;;;;;N;;;159.38
880047;A2 Approuvé;27/03/2013 15:31:40;axe galet codeur;;;;;;N;;;1216.00
880048;A2 Approuvé;27/03/2013 15:31:40;clavette galet codeur;;;;;;N;;;24.82
880049;A2 Approuvé;27/03/2013 15:31:41;galet codeur;;;;;;N;;;1612
820450;A1 Approuvé;27/03/2013 16:09:09;Plaque de serrage axe;;;;;;N;602;5;2065
880041;A2 Approuvé;27/03/2013 15:31:41;ensemble galet codeur;;;;;;N;;;21
880036;A2 Approuvé;27/03/2013 15:31:41;support de collecteur pour frotteur;;;;;;N;;;16446.54
880037;A2 Approuvé;27/03/2013 15:31:42;support de rail pour frotteur 2;;;;;;N;;;8489.35
880038;A2 Approuvé;27/03/2013 15:31:42;renfort de support de rail;;;;;;N;;;3722.81
880040;A2 Approuvé;27/03/2013 15:31:42;platine de réglage;;;;;;N;;;5253.84
880039;A2 Approuvé;27/03/2013 15:31:42;support frotteurs;;;;;;N;;;859.30
820453;A2 Approuvé;18/06/2013 11:53:31;Axe poulie Ø1000 type 2 coudé 17°;;;;;;S;602;5;6.5
880017_1;A1 Etude;27/03/2013 15:31:42;support capteur GI;;;;;;N;;;S 235
880050;A2 Approuvé;27/03/2013 15:31:43;flasque de roue codeuse;;;;;;N;;;45
810500;A1 Approuvé;27/03/2013 17:47:58;Plaquette de frein de service;;;;;;N;601;4;2407
810501;A1 Approuvé;27/03/2013 17:47:59;Plaque de frein d'urgence;;;;;;N;601;4;15026
820454;A1 Etude;27/03/2013 16:09:09;Flasque B2 compression Ø420;;;;;;S;602;5;9.1
880051;A2 Approuvé;27/03/2013 15:31:43;Rondelle M16 arbre moteur;;;;;;S;;;82
810504;A2 Etude;12/07/2013 16:19:50;Etrier M16 Ø92 x 120;;;;;;N;601;4;602
820462;A1 Approuvé;27/03/2013 16:09:10;collerette pylone;;;;;;S;602;5;59207
820461;A1 Approuvé;27/03/2013 16:09:10;Pylone vertical;;;;;;S;602;5;711934
820460;A2 Approuvé;27/03/2013 16:09:10;Pylone incliné;;;;;;S;602;5;"""SW-Mass@820460.SLDASM"""
820465;A1 Approuvé;27/03/2013 16:09:11;Contre plaque;;;;;;N;602;5;526
820464;A1 Approuvé;27/03/2013 16:09:12;Anti dérailleur;;;;;;N;602;5;5232
820449;A2 Approuvé;27/03/2013 16:09:13;Potence pylone verical;;;;;;S;602;5;177908
880052;A2 Approuvé;27/03/2013 15:31:43;Support capteur arrêt station;;;;;;N;;;1407
880053;A2 Approuvé;27/03/2013 15:31:43;Support capteur station gauche - surcourse;;;;;;N;;;5312
820463;A1 Approuvé;27/03/2013 16:09:12;Balancier 2C 420;;;;;;N;602;5;112901
880054;A2 Approuvé;27/03/2013 15:31:44;passerelle gare amont;;;;;;N;;;31214
880057;A2 Approuvé;27/03/2013 15:31:44;passerelle basse gare avale;;;;;;N;;;54124
880055;A2 Approuvé;27/03/2013 15:31:44;passerelle gare intermédiaire;;;;;;N;;;48149
880056;A2 Approuvé;27/03/2013 15:31:45;passerelle gare avale;;;;;;N;;;36612
880058;A2 Approuvé;27/03/2013 15:31:45;rambarde d'escalier;;;;;;N;;;9170
880059;A2 Approuvé;27/03/2013 15:31:45;équerre de rambarde;;;;;;N;;;1018
820469;A1 Etude;27/03/2013 16:09:14;Silentblock de suspente TK type 2;;;;;;N;602;5;160
820470;A1 Etude;27/03/2013 16:09:14;Tôle en U TK type 2;;;;;;N;602;5;721
820471;A1 Etude;27/03/2013 16:09:16;Axe d'adaptation type 2;;;;;;S;602;5;87
820334;A3 Approuvé;20/06/2013 16:56:25;Bague bronze Ø32-Ø40-L32;;;;;;N;602;5;119
820468;A1 Etude;27/03/2013 16:09:13;Adaptation suspente à enrouleur type 2;;;;;;N;602;5;7486
820473;A1 Approuvé;27/03/2013 16:09:15;garde corps potence verticale;;;;;;N;602;5;11634
820472;A1 Approuvé;27/03/2013 16:09:15;plaque de potence ligne de vie;;;;;;N;602;5;474
820452;A1 Approuvé;27/03/2013 16:09:15;potence ligne de vie;;;;;;N;602;5;19633
820451;A1 Etude;27/03/2013 16:09:16;Ensemble potence verticale;;;;;;N;602;5;1025542
820474;A1 Approuvé;27/03/2013 16:09:16;caillebotis potence verticale;;;;;;N;602;5;5788
880060;A3 Approuvé;27/03/2013 15:31:46;instalation gare basse;;;;;;N;;;21
880061;A2 Approuvé;27/03/2013 15:31:46;Plaque réglage capteur arrêt station;;;;;;N;;;1076
880062;A2 Approuvé;27/03/2013 15:31:46;Roue incrémentation 6 dents;;;;;;S;;;808.21
880063;A2 Approuvé;27/03/2013 15:31:46;rouleaux support cable;;;;;;N;;;2346
880067;A2 Approuvé;27/03/2013 15:31:47;ensemble support cable rouleaux;;;;;;N;;;9953
880066;A2 Approuvé;27/03/2013 15:31:47;Support rouleaux;;;;;;N;;;7089
880065;A2 Approuvé;27/03/2013 15:31:48;entretoise des rouleaux support cable;;;;;;N;;;102
880064;A3 Approuvé;27/03/2013 15:31:48;Axe des rouleaux;;;;;;N;;;124
Comparatif Ø26 et Ø42;A1 Approuvé;23/03/2016 12:31:14;Mors mobile attache fixe usiné Ø26;;;;;;N;;;3055
880024;A2 Approuvé;27/03/2013 15:31:48;Support antenne;;;;;;N;;;1259
880022;A2 Approuvé;27/03/2013 15:31:48;Embase support antenne;;;;;;S;;;766
820476;A1 Approuvé;27/03/2013 16:09:18;Axe excentrique poulie Ø1000;;;;;;S;602;5;12130
820477;A2 Approuvé;10/04/2013 09:50:19;Axe excentrique soudé;;;;;;S;602;5;9
880023;A2 Approuvé;27/03/2013 15:31:49;Support antenne;;;;;;N;;;5729
820478;A2 Approuvé;18/06/2013 11:53:43;Axe poulie Ø1000 type 2 coudé 8°;;;;;;S;602;5;6.4
820479;A2 Approuvé;27/03/2013 16:09:17;Support échelle sur pylone Ø500;;;;;;N;602;5;5363
810508;A1 Approuvé;22/07/2014 10:38:13;Epure attache fixe Altim dans galet Ø330;;;;;;N;601;4;/
880070;A2 Approuvé;27/03/2013 15:31:49;disque de friction;;;;;;S;;;18287
880071;A3 Approuvé;27/03/2013 15:31:50;arbre P.V.;;;;;;S;;;54181
880072;A2 Approuvé;27/03/2013 15:31:50;demie chape;;;;;;S;;;2850
880073;A2 Approuvé;27/03/2013 15:31:50;aile de chape;;;;;;S;;;884
880074;A2 Approuvé;27/03/2013 15:31:51;clavette;;;;;;S;;;203
880075;A2 Approuvé;27/03/2013 15:31:51;rondelle d'arrêt;;;;;;S;;;960
880076;A2 Approuvé;27/03/2013 15:31:51;Aiguille de rotation;;;;;;S;;;85
880069;A2 Approuvé;27/03/2013 15:31:51;ensemble limiteur de couple;;;;;;S;;;94472
820483;A1 Approuvé;27/03/2013 16:09:18;support avant passerelle potence incliné;;;;;;N;602;5;11179
820482;A1 Approuvé;27/03/2013 16:09:18;support arrière passerelle potence incliné;;;;;;N;602;5;11179
820481;A1 Approuvé;27/03/2013 16:09:19;caillebotis potence incliné;;;;;;N;602;5;7716
820480;A1 Approuvé;27/03/2013 16:09:19;garde corps potence incliné;;;;;;N;602;5;14733
820484;A1 Approuvé;27/03/2013 16:09:19;Ensemble passerelle pylone incliné;;;;;;N;602;5;952098
820485;A1 Approuvé;27/03/2013 16:09:20;Ensemble passerelle pylone vertical;;;;;;N;602;5;999587
820486;A1 Approuvé;27/03/2013 16:09:20;Poutre balancier compression;;;;;;N;602;5;100
810505;A1 Approuvé;27/03/2013 17:47:59;Croix détection galet mono;;;;;;N;601;4;1797
810507;A1 Approuvé;27/03/2013 17:48:00;Support codeur;;;;;;N;601;4;297
880068;A2 Approuvé;27/03/2013 15:31:51;Tube support antenne;;;;;;N;;;1792
810515;A1 Approuvé;27/03/2013 17:48:01;Support codeur;;;;;;N;601;4;319
880077;A1 Approuvé;27/03/2013 15:31:52;axe dynamo tachy;;;;;;N;;;496
880078;A1 Approuvé;27/03/2013 15:31:52;Boitier dynamo tachy;;;;;;N;;;1505
880079;A1 Approuvé;27/03/2013 15:31:52;Bras dynamo tachy;;;;;;N;;;8171
880080;A1 Approuvé;27/03/2013 15:31:53;clavette parallele forme B;;;;;;N;;;10
880081;A1 Approuvé;27/03/2013 15:31:53;Couvercle dynamo tachy;;;;;;N;;;153
880082;A1 Approuvé;27/03/2013 15:31:53;Fourreau dynamo tachy;;;;;;N;;;680
880083;A1 Approuvé;27/03/2013 15:31:54;plaque dynamo tachy;;;;;;N;;;554
880084;A1 Approuvé;27/03/2013 15:31:54;support bras dynamo tachy;;;;;;N;;;3246
880085;A1 Approuvé;27/03/2013 15:31:54;support dynamo tachy;;;;;;N;;;1282
880086;A2 Approuvé;27/03/2013 15:31:55;Montage dynamo tachy;;;;;;N;;;18463
810512;A1 Approuvé;27/03/2013 17:48:01;Bras support tachymètre;;;;;;N;601;4;3053
810513;A1 Approuvé;27/03/2013 17:48:01;Support tachymètre;;;;;;N;601;4;4258
810523;A1 Approuvé;27/03/2013 17:48:02;Plaque étrier;;;;;;N;601;4;297
810511;A1 Approuvé;27/03/2013 17:48:02;Plaque de détection;;;;;;N;601;4;246
810521;A1 Approuvé;27/03/2013 17:48:02;Entretoise détection;;;;;;N;601;4;156
810522;A1 Approuvé;27/03/2013 17:48:03;Reprise galet Ø420;;;;;;N;601;4;/
810510;A1 Approuvé;27/03/2013 17:48:03;Grande poulie tachymétrie;;;;;;N;601;4;8149
810520;A1 Approuvé;27/03/2013 17:48:04;Rondelle pour roulement 6202;;;;;;N;601;4;4
810514;A1 Approuvé;27/03/2013 17:48:04;Entretoise tachymétrie;;;;;;N;601;4;13
810509;A1 Approuvé;27/03/2013 17:48:05;Ensemble codeur + tachymétrie;;;;;;N;601;4;39248
810524;A1 Approuvé;27/03/2013 17:48:05;Petite poulie tachymétrie;;;;;;N;601;4;298
880087;A2 Approuvé;27/03/2013 15:31:56;Montage porte gare amont.;;;;;;N;;;31623
820488;A1 Etude;27/03/2013 16:09:20;Ens. cales inclinées sous pylone;;;;;;N;602;5;2177115
820489;A1 Approuvé;27/03/2013 16:09:21;Cale inclinée 7°;;;;;;N;602;5;9315
820490;A1 Approuvé;27/03/2013 16:09:21;Cale inclinée 8°;;;;;;N;602;5;10716
820491;A1 Approuvé;27/03/2013 16:09:21;Cale inclinée 9°;;;;;;N;602;5;11964
810525;A1 Approuvé;27/03/2013 17:48:06;Entretoise détection;;;;;;N;601;4;156
810506;A1 Approuvé;27/03/2013 17:48:06;Ensemble codeur;;;;;;N;601;4;20604
810530;A1 Approuvé;27/03/2013 17:48:07;Pied support détection non débarquement;;;;;;N;601;4;3160
880088;A2 Approuvé;27/03/2013 15:31:56;support capteur GI droite;;;;;;S;;;S 235
810528;A1 Approuvé;27/03/2013 17:48:07;Poutre supérieure;;;;;;N;601;4;2831
810516;A1 Approuvé;27/03/2013 17:48:08;Poutre inférieure;;;;;;N;601;4;9206
810529;A1 Approuvé;27/03/2013 17:48:08;Tube extérieur;;;;;;N;601;4;9957
810526;A1 Approuvé;27/03/2013 17:48:09;Tube intérieur;;;;;;N;601;4;8539
880089;A2 Approuvé;27/03/2013 15:31:57;Montage des passerelles de gare;;;;;;N;;;1939742
Véhicule goutte d'eau 2 pl.;A1 Etude;23/03/2016 12:31:14;;;;;;;N;;;
Masque d'ancien véhicule 2pl.;A1 Etude;23/03/2016 12:31:13;;;;;;;N;;;
Masque de nouveau véhicule 2pl.;A1 Etude;23/03/2016 12:31:12;;;;;;;N;;;
810517;A1 Approuvé;27/03/2013 17:48:09;Tige filetée M12 x 260;;;;;;N;601;4;226
810527;A1 Approuvé;27/03/2013 17:48:09;Ensemble détection non débarquement;;;;;;N;601;4;37.6
Masque des 2 véhicules 2pl.;A1 Etude;23/03/2016 12:31:14;;;;;;;N;;;
810531;A1 Approuvé;23/03/2016 12:31:13;Masque véhicule 2 pl type rectangulaire;;;;;;N;601;4;
810532;A1 Approuvé;23/03/2016 12:31:12;Masque véhicule 2 pl type 1997;;;;;;N;601;4;
810533;A1 Approuvé;23/03/2016 12:31:56;Superposition des masques des 2 véhicules  2 pl type rectangulaire et type 1997;;;;;;N;601;4;0
880090;A2 Approuvé;27/03/2013 15:31:57;Support barrette cassante treuil;;;;;;N;;;259
880092;A2 Approuvé;27/03/2013 15:31:58;Support barrette cassante poulie basse;;;;;;N;;;374
880093;A2 Approuvé;27/03/2013 15:31:58;Contre plaque support barrette cassante poulie basse;;;;;;N;;;167
880095;A1 Approuvé;23/03/2016 12:31:02;support barrette cassante poulie haute;;;;;;N;;;516
880096;A2 Approuvé;27/03/2013 15:31:58;contre plaque support barrette cassante poulie haute;;;;;;N;;;533
880091;A2 Approuvé;27/03/2013 15:31:59;Ensemble support barrette cassante treuil;;;;;;N;;;3778296
880094;A2 Approuvé;27/03/2013 15:32:00;Ensemble support barrette cassante poulie basse;;;;;;N;;;169652
880098;A3 Approuvé;27/03/2013 15:32:01;Tige filetée M8;;;;;;N;;;13
880097;A1 Approuvé;23/03/2016 12:31:03;Ensemble support barrette cassante poulie haute;;;;;;N;;;340145
820492;A4 Etude;27/03/2013 16:09:22;Kit montage poulie S-C 500 axe rond type 2;;;;;;N;602;5;2445
870004;A2 Approuvé;27/03/2013 15:32:02;Axe Ø45 x 327;;;;;;S;601;4;3911
870005;A2 Approuvé;27/03/2013 15:32:02;Axe Ø45 x 242;;;;;;S;601;4;2870
870006;A1 Approuvé;27/03/2013 15:32:02;Axe Ø70 x 390;;;;;;S;601;4;11433
870007;A1 Approuvé;27/03/2013 15:32:02;Axe Ø40 x 260;;;;;;S;601;4;2049
870008;A1 Approuvé;27/03/2013 15:32:03;Axe Ø140 x 492;;;;;;S;601;4;58098
880100;A1 Approuvé;23/03/2016 12:31:56;Encagement poulie amont;;;;;;S;;;150274
810537;A1 Approuvé;23/03/2016 12:31:56;Mors mobile attache fixe usiné Ø26;;;;;;N;601;4;3055
880099;A1 Approuvé;23/03/2016 12:30:59;Butée;;;;;;S;;;2103
880101;A1 Approuvé;23/03/2016 12:30:59;Contre-plaque;;;;;;S;;;13727
820493;A1 Approuvé;27/03/2013 16:09:31;Rondelle Ø50xØ70x10;;;;;;N;602;5;146
810538;A3 Approuvé;27/03/2013 17:24:55;Gabarit transversal véhicule de maintenance;;;;;;N;601;4;1975473
880103;A1 Approuvé;27/03/2013 15:32:04;Cornière verticale;;;;;;N;;;2893
880104;A1 Approuvé;27/03/2013 15:32:04;Plat vertical;;;;;;N;;;1880
880105;A1 Approuvé;27/03/2013 15:32:05;Cornière horizontale;;;;;;N;;;2432
880106;A1 Approuvé;27/03/2013 15:32:05;Plat horizontal;;;;;;N;;;162
880107;A1 Approuvé;27/03/2013 15:32:05;Cornière verticale;;;;;;N;;;2893
880108;A1 Approuvé;27/03/2013 15:32:05;Cale de vérin;;;;;;N;;;1924
820496;A1 Etude;27/03/2013 16:09:24;Gabarit gare motrice;;;;;;N;602;5;34911
820500;A1 Approuvé;27/03/2013 16:09:24;Gabarit gare motrice;;;;;;N;602;5;20633
820499;A1 Approuvé;27/03/2013 16:09:24;Gabarit perdu GR;;;;;;N;602;5;6211
820501;A1 Approuvé;27/03/2013 16:09:25;Gabarit gare retour;;;;;;N;602;5;22187
820497;A1 Approuvé;27/03/2013 16:09:25;Gabarit perdu GM;;;;;;N;602;5;"""SW-Mass@820497.SLDPRT"""
Reprise 601120;A1 Approuvé;23/03/2016 12:26:48;Mors mobile attache fixe usiné Ø26;;;;;;N;;;3055
880109;A1 Approuvé;27/03/2013 15:32:05;Support détecteur;;;;;;N;;;144
810540;A2 Approuvé;27/03/2013 17:48:12;Manchon de protection départ cadencé;;;;;;N;601;4;930
820502;A2 Approuvé;27/03/2013 16:09:22;Equerre 1 caillebotis gare motrice;;;;;;N;602;5;4523
820503;A2 Approuvé;27/03/2013 16:09:23;Equerre 2 caillebotis gare motrice;;;;;;N;602;5;6917
820505;A2 Approuvé;27/03/2013 16:09:23;Equerre 4 caillebotis gare motrice;;;;;;N;602;5;6917
820504;A2 Approuvé;27/03/2013 16:09:23;Equerre 3 caillebotis gare motrice;;;;;;N;602;5;4523
820377;A1 Approuvé;27/03/2013 16:09:25;Ecrou carré M20;;;;;;N;602;5;80
820384;A1 Approuvé;23/03/2016 12:30:51;Entretoise poulie-roue à chaine;;;;;;N;602;5;2427
820385;A1 Approuvé;23/03/2016 12:30:51;Roue à chaine 70 dents;;;;;;N;602;5;6362
820386;A1 Approuvé;23/03/2016 12:30:53;Reprise d'usinage poulie Ø800;;;;;;N;602;5;9859
820455;A1 Approuvé;27/03/2013 16:09:26;Roue à chaine 95 dents;;;;;;N;602;5;14548
820506;A1 Approuvé;27/03/2013 16:09:27;Axe galet Ø330 dans B2 Ø420;;;;;;S;602;5;329
820507;A1 Approuvé;27/03/2013 16:09:28;Rondelle épaulée;;;;;;N;602;5;25
820456;A1 Approuvé;27/03/2013 16:09:28;Flasque de pignon primaire;;;;;;N;602;5;256
880110;A2 Approuvé;27/03/2013 15:32:06;Lèche goutte;;;;;;S;;;774
820509;A1 Approuvé;27/03/2013 16:09:29;Axe poulie retour Ø3500 type 3;;;;;;S;602;5;23795
880089-m;A1 Etude;27/03/2013 15:32:06;montage des passerelles de gare;;;;;;N;;;321030
880114;A2 Approuvé;27/03/2013 15:32:06;Escalier 3 marches;;;;;;N;;;29642
820510;A2 Etude;27/03/2013 16:09:30;Balancier 2C 330;;;;;;N;602;5;58158
820511;A5 Approuvé;27/03/2013 16:09:30;Flasque B2 compression Ø330;;;;;;S;602;5;9.2
880115;A2 Approuvé;27/03/2013 15:32:07;Cale peigne;;;;;;N;;;41
880113;A2 Approuvé;27/03/2013 15:32:07;Marche;;;;;;N;;;6200
820512;A1 Approuvé;27/03/2013 16:09:31;Plaque d'obturation P12B;;;;;;N;602;5;7902
880118;A2 Approuvé;27/03/2013 15:32:07;Flanc supérieur droit;;;;;;N;;;1330
880117;A3 Approuvé;27/03/2013 15:32:07;Flanc central droit;;;;;;N;;;658
880116;A3 Approuvé;27/03/2013 15:32:07;Flanc inférieur droit;;;;;;N;;;4583
880119;A2 Approuvé;27/03/2013 15:32:08;Renfort gauche;;;;;;N;;;4254
880120;A2 Approuvé;27/03/2013 15:32:08;Renfort droit;;;;;;N;;;3566
880121;A2 Approuvé;27/03/2013 15:32:09;Support de renfort;;;;;;N;;;1247
820513;A1 Approuvé;23/03/2016 12:27:46;Support échelle sur pylone Ø320;;;;;;N;602;5;5363
820517;A2 Approuvé;27/03/2013 16:09:32;Support détection vérin ouvert;;;;;;N;602;5;339
820518;A1 Approuvé;27/03/2013 16:09:32;Butée réglable;;;;;;N;602;5;84
820519;A1 Approuvé;27/03/2013 16:09:32;Ens. détection vérin ouvert;;;;;;N;602;5;854
820184;A1 Approuvé;27/03/2013 16:09:33;Cale en U Ø60 x 25;;;;;;N;602;5;330
820520;A1 Approuvé;27/03/2013 16:09:33;Cale en U Ø60 x25;;;;;;N;602;5;1103
820521;A1 Approuvé;27/03/2013 16:09:34;Demi-bride Ø90;;;;;;N;602;5;236
820522;A1 Etude;27/03/2013 16:09:34;Demi-bride Ø90 support;;;;;;N;602;5;1263
602503;A8 Approuvé;23/03/2016 12:26:31;Barrette cassante L122 isolée;;;;;;N;602;5;30
602505;A6 Approuvé;23/12/2015 15:12:15;Barrette cassante L200 isolée;;;;;;N;602;5;49
602507;A9 Approuvé;23/03/2016 12:26:32;Barrette cassante L160 isolée;;;;;;N;602;5;39
820524;A1 Approuvé;27/03/2013 16:09:35;Support détection déraillement cable;;;;;;N;602;5;12184
820523;A1 Approuvé;27/03/2013 16:09:35;Demi-bride Ø90 support;;;;;;N;602;5;1252
820514;A1 Approuvé;27/03/2013 16:09:36;Rattrapeur de câble pour poulie Ø1250;;;;;;S;602;5;30
Cartouche EDF;A1 Etude;23/03/2016 12:31:11;Plaque ;;;;;;N;;;21
820515;A1 Approuvé;27/03/2013 16:09:36;Plaque de fixation rattrapeur;;;;;;S;602;5;294
820516;A1 Approuvé;27/03/2013 16:09:36;Ensemble rattrapeur de câble pour poulie Ø1250;;;;;;N;602;5;243547
820527;A1 Etude;27/03/2013 16:09:37;Rondelle Ø45 x 2 ;;;;;;N;602;5;62
820526;A1 Approuvé;27/03/2013 16:09:37;Etrier M20x75 Ø125 L210;;;;;;N;602;5;1297
880122;A1 Approuvé;23/03/2016 12:31:57;Soudure câles sur encagement poulie haute;;;;;;S;;;152
820487;A1 Approuvé;27/03/2013 16:09:38;Tige filetée M12x420;;;;;;N;602;5;375
820525;A1 Approuvé;27/03/2013 16:09:38;Tige filetée M20x200;;;;;;N;602;5;495
820530;A1 Etude;27/03/2013 16:09:38;Potence support de ligne de vie;;;;;;N;602;5;46984
820535;A1 Approuvé;27/03/2013 16:09:39;Bride d'échelle;;;;;;N;602;5;171
820536;A1 Etude;27/03/2013 16:09:39;toto;;;;;;N;602;5;379
Bandage 1;A1 Etude;23/03/2016 12:31:10;Bandage caoutchouc;;;;;;S;;;46520
Bandage 2;A1 Etude;23/03/2016 12:31:10;Bandage caoutchouc;;;;;;S;;;46520
820529;A1 Approuvé;27/03/2013 16:09:40;Plaque étrier;;;;;;S;602;5;1
820528;A1 Approuvé;27/03/2013 16:09:40;Support ligne de vie;;;;;;S;602;5;11
820531;A1 Etude;27/03/2013 16:09:41;Plaque étrier pour potence;;;;;;N;602;5;5
820537;A2 Approuvé;27/03/2013 16:09:41;Garde corps bas gare retour;;;;;;N;602;5;22633
820538;A2 Approuvé;27/03/2013 16:09:42;Garde corps droit gare retour;;;;;;N;602;5;21038
820539;A2 Approuvé;27/03/2013 16:09:42;Garde corps gauche gare retour;;;;;;N;602;5;21038
820534;A1 Etude;27/03/2013 16:09:42;Contre-plaque d'attache;;;;;;N;602;5;950
820533;A1 Etude;27/03/2013 16:09:43;Support attache de sécurité;;;;;;N;602;5;1176
820542;A1 Approuvé;27/03/2013 16:09:43;Bride d'échelle;;;;;;N;602;5;587
820543;A2 Approuvé;27/03/2013 16:09:44;Support de douille pour cable 18 droite Type 2;;;;;;N;602;5;435
820544;A2 Approuvé;27/03/2013 16:09:44;Support de douille pour cable 18 gauche type 2;;;;;;N;602;5;435
820545;A3 Approuvé;27/03/2013 16:09:45;Douille double encoche pour câble de 18 Type 2;;;;;;N;602;5;246
820546;A2 Approuvé;11/09/2013 14:48:56;Ensemble attache débrayable gauche douille 18 Type 2;;;;;;N;602;5;1587
820547;A2 Approuvé;29/07/2014 15:53:20;Ensemble attache débrayable droite douille 18 Type 2;;;;;;N;602;5;1587
820548;A1 Approuvé;27/03/2013 16:09:46;Ensemble attache débrayable gauche douille 18 Type 2;;;;;;N;602;5;435
820549;A1 Approuvé;27/03/2013 16:09:47;Ensemble attache débrayable droite douille 18 Type 2;;;;;;N;602;5;435
870009;A1 Approuvé;27/03/2013 15:32:09;Fourreau Ø40xØ50x124;;;;;;N;601;4;679
870010;A1 Approuvé;27/03/2013 15:32:09;Bague Ø32xØ38x41;;;;;;N;601;4;14
810553;A1 Etude;27/03/2013 17:48:12;Couvercle de pylone Ø300;;;;;;N;601;4;6317
810558;A1 Approuvé;27/03/2013 17:48:12;Réalésage galet Type 4;;;;;;N;601;4;30918
810559;A1 Approuvé;27/03/2013 17:48:13;Chemise galet Type 4;;;;;;N;601;4;3090
810560;A1 Approuvé;27/03/2013 17:48:14;Chemisage galet Type 4;;;;;;N;601;4;33577
810561;A1 Approuvé;27/03/2013 17:48:14;Réalésage galet Ø330;;;;;;N;601;4;1592
810542;A1 Etude;27/03/2013 17:48:14;Pylone Ø300;;;;;;N;601;4;399786
810550;A1 Etude;27/03/2013 17:48:15;Portique de portillons escamotable;;;;;;N;601;4;1112196
810546;A1 Etude;27/03/2013 17:48:15;Support lecteur SKIDATA;;;;;;N;601;4;36552
810547;A1 Etude;27/03/2013 17:48:16;Contre-plaque de support;;;;;;N;601;4;2571
